,IMDb-rating,appropriate_for,director,downloads,id,industry,language,posted_date,release_date,run_time,storyline,title,views,writer
14263,4.4,,Jay Prakash,"5,720",111503,Bollywood / Indian,Hindi,"13 Nov, 2014",Jul 28 1995,145,"Sagar is a popular singer, and since he is a bachelor, he is always mobbed by young women wherever he stages his shows. On one such show in Srinagar, he meets with beautiful Sapna Narang, and after a few misunderstandings, both fall in love with each other. But Sapna's dad, Pran, has other plans for her, and wants her to marry someone of his choice. In this way both lovers are separated. Years later both will meet each other, but during this meeting Sagar will be announcing his marriage with Kavita, while Sapna will be engaged to Sagar's childhood friend, Rakesh. It is during this meeting that many truths will surface - which will change their lives forever.",Saajan Ki Baahon Mein,"19,369","Sachin Bhowmick, Rumi Jaffery, Jay Prakash"
14264,4.7,,Navaniat Singh,"10,310",94419,Punjabi,Punjabi,"19 May, 2014",May 16 2014,,"The movie revolves around two common boys who travel from India to 
Thailand for success and money. How they cheat dons in Thailand and rob.
 The movie is a fast paced thriller showing the",Romeo Ranjha,"50,708","Dheeraj Rattan, Amberdeep Singh"
14265,3,R,Mathieu Weschler,"7,751",111368,Hollywood / English,English,"11 Nov, 2014",Nov 11 2014,89,"Gabriel is promised his freedom in return for his service in a rescue operation to save a missing British operative. When Gabriel is captured and taken to the compound where his target and several others are being held, he must devise a plan to take on the entire North Korean military installation and get everyone to safety.",The Borderland (Covert Operation),"24,162",Mathieu Weschler
14266,4.7,R,Cathryn Michon,"2,917",111367,Hollywood / English,English,"11 Nov, 2014",Oct 18 2014,1h 37min,"""Muffin Top: A Love Story"" is the story of Suzanne (Cathryn Michon) a Women's Studies Pop Culture professor at Malibu University, who studies images of women in the media for a living, and yet is made insecure by the constant parade of female perfection that is our airbrushed culture. She has been going through IVF treatments to get pregnant by her network executive husband (Diedrich Bader),",Muffin Top: A Love Story,"16,786","W. Bruce Cameron, Cathryn Michon"
14267,6,R,Dave Rodriguez,887,111366,Hollywood / English,English,"11 Nov, 2014",Jun 08 2013,1h 38min,"After spending 20 years in federal prison for myriad crimes, the ailing Mafia Capo Joseph 'Mr. Joe' Scoleri was released. As he tries to reconnect with his daughter and establish a relationship with his neighbor, he realizes that the life he knew no longer exists and nothing is the same as it was before he went away.",Last I Heard (Once Upon a Time in Queens),"7,572",Dave Rodriguez
14268,6.9,TV-Y,"Jayson Thiessen, Ishi Rudell","3,882",111364,Anime / Kids,"English,Hungarian","11 Nov, 2014",Sep 27 2014,75,"Music rules and rainbows rock as Twilight Sparkle and pals complete for the top spot in the Canterlot High ""Mane Event"" talent show. The girls must rock their way to the top, and outshine rival Adagio Dazzle and her band The Dazzlings, to restore harmony back to Canterlot High.",My Little Pony: Equestria Girls - Rainbow Rocks,"15,028","Lauren Faust, Meghan McCarthy, Bonnie Zacherle"
14269,6.2,PG-13,,"6,370",110884,Hollywood / English,English,"06 Nov, 2014",Jul 03 2014,98 min,"A film based on an incredible true story. Desert Dancer is a classic hero story about brave young people risking their lives to rebel against their government and fight for their dreams. Set in Iran, where it is currently forbidden to dance, the story follows Afshin Ghaffarian and his friends who despite the dangers form an underground dance company where, via hacking into YouTube, they learn from the very best - Michael Jackson, Pina Bausch, Gene Kelly and Rudolf Nureyev. Reveling in the freedom of expression that dance gives them, they set upon putting on a performance deep in the desert, away from the watchful eyes of the military police.",Desert Dancer,"36,509",
14270,5.4,,,"2,949",111240,Hollywood / English,English,"10 Nov, 2014",Jan 01 1970,100 min,"Drug lord William Spinks has a curious obsession with Sadie Hill and uses family friends Bobby and Frank to get to her. But when Sadie's death jeopardizes a major deal, Bobby and Frank set out to find a replacement, a lookalike to fool Spinks. The shady plan propels an ex-basketball champion, a deaf beauty, an addict, and an aspiring actress into an unlikely romance and a desperate quest to start over.",The Lookalike,"12,164",
14271,6.8,PG-13,,"8,453",107293,Hollywood / English,English,"27 Sep, 2014",Aug 20 2014,98 min,"WHAT IF is the story of medical school dropout Wallace, who's been repeatedly burned by bad relationships. So while everyone around him, including his roommate Allan seems to be finding the perfect partner, Wallace decides to put his love life on hold. It is then that he meets Chantry an animator who lives with her longtime boyfriend Ben. Wallace and Chantry form an instant connection, striking up a close friendship. Still, there is no denying the chemistry between them, leading the pair to wonder, what if the love of your life is actually your best friend?",What If,"31,952",
14272,6.7,PG-13,R.J. Cutler,"12,546",105873,Hollywood / English,English,"11 Sep, 2014",Aug 22 2014,107,"Mia Hall thought the hardest decision she would ever face would be whether to pursue her musical dreams at Juilliard or follow a different path to be with the love of her life, Adam. But what should have been a carefree family drive changes everything in an instant, and now her own life hangs in the balance. Caught between life and death for one revealing day, Mia has only one decision left, which will not only decide her future but her ultimate fate.",If I Stay,"47,121","Shauna Cross, Gayle Forman"
14273,6.1,R,Luis Mandoki,"14,996",111232,Hollywood / English,English,"10 Nov, 2014",Sep 16 2002,106,"When their daughter is abducted and taken for ransom by a gang of serial kidnappers, a young doctor and his wife find themselves held hostage while a 24-hour plan to extort their money is set into motion. Now, with time running out and the health of their asthmatic daughter at serious risk, they find themselves in a life-and-death race against the clock as the ""perfect crime"" begins spiraling towards an unthinkable, terrifying and deadly conclusion.",Trapped,"51,332",Greg Iles
14274,5.7,PG-13,Jean-Marie Poiré,"9,822",111231,Hollywood / English,"English,French","10 Nov, 2014",Apr 06 2001,88,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.",Just Visiting,"40,262","Jean-Marie Poiré, Christian Clavier, John Hughes"
14275,7.9,PG-13,Bryan Singer,"151,090",95005,Hollywood / English,"English,Vietnamese,French","26 May, 2014",May 23 2014,132,"The X-Men send Wolverine to the past in a desperate effort to change 
history and prevent an event that results in doom for both humans and 
mutants.",X-Men: Days of Future Past,"358,611","Simon Kinberg, Jane Goldman, Matthew Vaughn"
14276,3.6,Not Rated,K.C. Bokadia,"10,559",111228,Bollywood / Indian,Hindi,"10 Nov, 2014",Apr 14 1995,155,"Daata Guru (Amrish Puri) is a wealthy, powerful, and influential head of a village. He owns and controls all the villagers and their properties. Anyone who dares to raise their voice against him is crushed by his employee, Shankar (Dharmendra), and his sons, Guman (Gulshan Grover) and Karan (Akshay Kumar). When Daata Guru learns that Shankar has abducted his widowed daughter-in-law, Lakhsmi (Jaya Pradha), and has married her, he is enraged and wants Shankar dead. Daata Guru also instigates Karan against Shankar, and threatens the villagers to cut off their water supply if they do not turn in Shankar to him. What will Shankar do to protect his new wife and himself from the wrath of Daata Guru and his men?",Maidan-E-Jung,"37,537","K.C. Bokadia, Subhash Jain"
14277,6.3,,J.P. Dutta,"5,364",111227,Bollywood / Indian,Hindi,"10 Nov, 2014",Jul 14 1989,201,"In India circa after the British Rule, there is a princely family consisting of Bade Thakur (Shammi Kapoor), his sons Devan (Vijayendra Ghatge), Vikram Singh (Vinod Khanna), and a third son who is a Police Officer (Mohsin Khan). Devan is threatened by the changes taking place in India, and the gradual erosion of power by princely families and zamindars. His brothers, on the contrary, accept the change. Vikram even has a lowly peasant, Sumer Singh (Dharmendra) for a friend. But fate has something else in store for these two friends. Things come to such a boil that eventually Bade Thakur may have to decide to split the estate. How will this effect the relationships of the father and the sons? Will this impact on the friendship of Sumer and Vikram?",Batwara,"19,723",J.P. Dutta
14278,5.1,PG-13,Tristram Shapeero,"1,180",111136,Hollywood / English,English,"08 Nov, 2014",Dec 25 2014,88 min,"Boyd Mitchler and his family must spend Christmas with his estranged 
family of misfits. Upon realizing that he left all his son's gifts at 
home, he hits the road with his dad in an attempt to make the 8-hour 
round trip before sunrise.",A Merry Friggin' Christmas,"6,644",Michael Brown
